,experiment_accession,study_accession,age,missing_metadata,cell_line,differentiated
0,SRX1799960,SRP075717,0,False,False,False
1,SRX1799968,SRP075717,0,False,False,False
2,SRX1799966,SRP075717,0,False,False,False
3,SRX1799967,SRP075717,0,False,False,False
4,SRX1799959,SRP075717,0,False,False,False
5,SRX1818969,SRP075717,0,False,False,False
6,SRX1799955,SRP075717,0,False,False,False
7,SRX1799965,SRP075717,0,False,False,False
8,SRX1799956,SRP075717,0,False,False,False
9,SRX1818961,SRP075717,0,False,False,False
10,SRX1818957,SRP075717,0,False,False,False
11,SRX1818962,SRP075717,0,False,False,False
12,SRX1818958,SRP075717,0,False,False,False
13,SRX1818966,SRP075717,0,False,False,False
14,SRX1818960,SRP075717,0,False,False,False
15,SRX1818968,SRP075717,0,False,False,False
16,SRX1818965,SRP075717,0,False,False,False
17,SRX1799958,SRP075717,0,False,False,False
18,SRX1818967,SRP075717,0,False,False,False
19,SRX1799969,SRP075717,0,False,False,False
20,SRX1818964,SRP075717,0,False,False,False
21,SRX1818959,SRP075717,0,False,False,False
22,SRX1818963,SRP075717,0,False,False,False
23,SRX1799962,SRP075717,0,False,False,False
24,SRX1799961,SRP075717,0,False,False,False
25,SRX1799964,SRP075717,0,False,False,False
26,SRX1799957,SRP075717,0,False,False,False
27,SRX1799963,SRP075717,0,False,False,False
28,SRX550514,SRP042027,1,False,False,False
29,SRX550502,SRP042027,1,False,False,False
30,SRX2069361,SRP083126,1,False,False,False
31,SRX550478,SRP042027,1,False,False,False
32,SRX550510,SRP042027,1,False,False,False
33,SRX550494,SRP042027,1,False,False,False
34,SRX550506,SRP042027,1,False,False,False
35,SRX550490,SRP042027,1,False,False,False
36,SRX2766397,SRP105312,1,False,False,False
37,SRX544923,SRP042027,1,False,False,False
38,SRX550482,SRP042027,1,False,False,False
39,SRX550486,SRP042027,1,False,False,False
40,SRX2069363,SRP083126,1,False,False,False
41,SRX550498,SRP042027,1,False,False,False
42,SRX1643265,SRP072024,1,False,False,False
43,SRX550511,SRP042027,2,False,False,False
44,SRX1047790,SRP059039,2,False,False,False
45,SRX1047740,SRP059039,2,False,False,False
46,SRX1047767,SRP059039,2,False,False,False
47,SRX1047758,SRP059039,2,False,False,False
48,SRX1047755,SRP059039,2,False,False,False
49,SRX1047760,SRP059039,2,False,False,False
50,SRX1047822,SRP059039,2,False,False,False
51,SRX1047850,SRP059039,2,False,False,False
52,SRX1047853,SRP059039,2,False,False,False
53,SRX1047809,SRP059039,2,False,False,False
54,SRX1047794,SRP059039,2,False,False,False
55,SRX1047796,SRP059039,2,False,False,False
56,SRX1047783,SRP059039,2,False,False,False
57,SRX1047674,SRP059039,2,False,False,False
58,SRX1047827,SRP059039,2,False,False,False
59,SRX1047843,SRP059039,2,False,False,False
60,SRX1047715,SRP059039,2,False,False,False
61,SRX1047786,SRP059039,2,False,False,False
62,SRX1047867,SRP059039,2,False,False,False
63,SRX1047821,SRP059039,2,False,False,False
64,SRX1047866,SRP059039,2,False,False,False
65,SRX1047787,SRP059039,2,False,False,False
66,SRX1047680,SRP059039,2,False,False,False
67,SRX1047795,SRP059039,2,False,False,False
68,SRX2766398,SRP105312,2,False,False,False
69,SRX1047869,SRP059039,2,False,False,False
70,SRX1047856,SRP059039,2,False,False,False
71,SRX1047864,SRP059039,2,False,False,False
72,SRX1047685,SRP059039,2,False,False,False
73,SRX1047805,SRP059039,2,False,False,False
74,SRX550503,SRP042027,2,False,False,False
75,SRX1047862,SRP059039,2,False,False,False
76,SRX1047708,SRP059039,2,False,False,False
77,SRX1047824,SRP059039,2,False,False,False
78,SRX1047731,SRP059039,2,False,False,False
79,SRX1047785,SRP059039,2,False,False,False
80,SRX1047776,SRP059039,2,False,False,False
81,SRX1047769,SRP059039,2,False,False,False
82,SRX1047718,SRP059039,2,False,False,False
83,SRX1047788,SRP059039,2,False,False,False
84,SRX1047699,SRP059039,2,False,False,False
85,SRX1047814,SRP059039,2,False,False,False
86,SRX1047695,SRP059039,2,False,False,False
87,SRX1047840,SRP059039,2,False,False,False
88,SRX1047777,SRP059039,2,False,False,False
89,SRX1047733,SRP059039,2,False,False,False
90,SRX1047839,SRP059039,2,False,False,False
91,SRX1047855,SRP059039,2,False,False,False
92,SRX1047746,SRP059039,2,False,False,False
93,SRX1047823,SRP059039,2,False,False,False
94,SRX1047863,SRP059039,2,False,False,False
95,SRX1047810,SRP059039,2,False,False,False
96,SRX1047826,SRP059039,2,False,False,False
97,SRX1047830,SRP059039,2,False,False,False
98,SRX1047732,SRP059039,2,False,False,False
99,SRX1047816,SRP059039,2,False,False,False
100,SRX550483,SRP042027,2,False,False,False
101,SRX1047743,SRP059039,2,False,False,False
102,SRX1047721,SRP059039,2,False,False,False
103,SRX1047677,SRP059039,2,False,False,False
104,SRX1047724,SRP059039,2,False,False,False
105,SRX1047753,SRP059039,2,False,False,False
106,SRX1047807,SRP059039,2,False,False,False
107,SRX1047666,SRP059039,2,False,False,False
108,SRX1047689,SRP059039,2,False,False,False
109,SRX1047829,SRP059039,2,False,False,False
110,SRX1047792,SRP059039,2,False,False,False
111,SRX1047667,SRP059039,2,False,False,False
112,SRX1047729,SRP059039,2,False,False,False
113,SRX1047711,SRP059039,2,False,False,False
114,SRX1047828,SRP059039,2,False,False,False
115,SRX1047726,SRP059039,2,False,False,False
116,SRX1047779,SRP059039,2,False,False,False
117,SRX1047702,SRP059039,2,False,False,False
118,SRX1047838,SRP059039,2,False,False,False
119,SRX1047749,SRP059039,2,False,False,False
120,SRX1047737,SRP059039,2,False,False,False
121,SRX1047859,SRP059039,2,False,False,False
122,SRX1047847,SRP059039,2,False,False,False
123,SRX1047696,SRP059039,2,False,False,False
124,SRX1047681,SRP059039,2,False,False,False
125,SRX1047679,SRP059039,2,False,False,False
126,SRX1047690,SRP059039,2,False,False,False
127,SRX1047780,SRP059039,2,False,False,False
128,SRX1047700,SRP059039,2,False,False,False
129,SRX1047736,SRP059039,2,False,False,False
130,SRX1047713,SRP059039,2,False,False,False
131,SRX1047782,SRP059039,2,False,False,False
132,SRX1047801,SRP059039,2,False,False,False
133,SRX1047722,SRP059039,2,False,False,False
134,SRX1047701,SRP059039,2,False,False,False
135,SRX1047684,SRP059039,2,False,False,False
136,SRX1047756,SRP059039,2,False,False,False
137,SRX1047694,SRP059039,2,False,False,False
138,SRX1047854,SRP059039,2,False,False,False
139,SRX1047687,SRP059039,2,False,False,False
140,SRX1047710,SRP059039,2,False,False,False
141,SRX1047723,SRP059039,2,False,False,False
142,SRX1047698,SRP059039,2,False,False,False
143,SRX1047844,SRP059039,2,False,False,False
144,SRX550515,SRP042027,2,False,False,False
145,SRX550499,SRP042027,2,False,False,False
146,SRX1047820,SRP059039,2,False,False,False
147,SRX1047683,SRP059039,2,False,False,False
148,SRX1047745,SRP059039,2,False,False,False
149,SRX1047834,SRP059039,2,False,False,False
150,SRX1047865,SRP059039,2,False,False,False
151,SRX1047757,SRP059039,2,False,False,False
152,SRX1047664,SRP059039,2,False,False,False
153,SRX1047857,SRP059039,2,False,False,False
154,SRX1047764,SRP059039,2,False,False,False
155,SRX1047802,SRP059039,2,False,False,False
156,SRX1047861,SRP059039,2,False,False,False
157,SRX1047665,SRP059039,2,False,False,False
158,SRX1047725,SRP059039,2,False,False,False
159,SRX550507,SRP042027,2,False,False,False
160,SRX1047800,SRP059039,2,False,False,False
161,SRX1047798,SRP059039,2,False,False,False
162,SRX1047678,SRP059039,2,False,False,False
163,SRX1047784,SRP059039,2,False,False,False
164,SRX1047793,SRP059039,2,False,False,False
165,SRX1047670,SRP059039,2,False,False,False
166,SRX1047697,SRP059039,2,False,False,False
167,SRX1047738,SRP059039,2,False,False,False
168,SRX1047709,SRP059039,2,False,False,False
169,SRX1047735,SRP059039,2,False,False,False
170,SRX1047860,SRP059039,2,False,False,False
171,SRX1047688,SRP059039,2,False,False,False
172,SRX1047762,SRP059039,2,False,False,False
173,SRX1047763,SRP059039,2,False,False,False
174,SRX1047707,SRP059039,2,False,False,False
175,SRX1047819,SRP059039,2,False,False,False
176,SRX1047734,SRP059039,2,False,False,False
177,SRX1047676,SRP059039,2,False,False,False
178,SRX1047752,SRP059039,2,False,False,False
179,SRX1047825,SRP059039,2,False,False,False
180,SRX1047773,SRP059039,2,False,False,False
181,SRX1047668,SRP059039,2,False,False,False
182,SRX1047669,SRP059039,2,False,False,False
183,SRX550491,SRP042027,2,False,False,False
184,SRX1047842,SRP059039,2,False,False,False
185,SRX1047712,SRP059039,2,False,False,False
186,SRX1047704,SRP059039,2,False,False,False
187,SRX1047868,SRP059039,2,False,False,False
188,SRX1047772,SRP059039,2,False,False,False
189,SRX1047747,SRP059039,2,False,False,False
190,SRX1047675,SRP059039,2,False,False,False
191,SRX1047817,SRP059039,2,False,False,False
192,SRX1047727,SRP059039,2,False,False,False
193,SRX544924,SRP042027,2,False,False,False
194,SRX1047833,SRP059039,2,False,False,False
195,SRX1047803,SRP059039,2,False,False,False
196,SRX1047778,SRP059039,2,False,False,False
197,SRX1047781,SRP059039,2,False,False,False
198,SRX1047730,SRP059039,2,False,False,False
199,SRX1047671,SRP059039,2,False,False,False
200,SRX1047851,SRP059039,2,False,False,False
201,SRX1047705,SRP059039,2,False,False,False
