SRA_Study	OrganismPart	Run
ERP000546	16 Tissues mixture	ERR030862,ERR030863,ERR030868,ERR030869,ERR030870,ERR030871,ERR030859,ERR030860,ERR030861,ERR030866,ERR030867,ERR030856,ERR030857,ERR030858,ERR030864,ERR030865
ERP000546	adipose	ERR030880,ERR030888
ERP000546	adrenal	ERR030881,ERR030889
ERP000546	brain	ERR030882,ERR030890
ERP000546	breast	ERR030883,ERR030891
ERP000546	colon	ERR030884,ERR030892
ERP000546	heart	ERR030886,ERR030894
ERP000546	kidney	ERR030885,ERR030893
ERP000546	liver	ERR030887,ERR030895
ERP000546	lung	ERR030879,ERR030896
ERP000546	lymph node	ERR030878,ERR030897
ERP000546	ovary	ERR030874,ERR030901
ERP000546	prostate	ERR030877,ERR030898
ERP000546	skeletal muscle	ERR030876,ERR030899
ERP000546	testes	ERR030873,ERR030902
ERP000546	thyroid	ERR030872,ERR030903
ERP000546	white blood cells	ERR030875,ERR030900
SRP056969	Adrenal gland	SRR1957124
SRP056969	Brain, Cerebellum	SRR1957125
SRP056969	Uterus	SRR1957209
SRP056969	Trachea	SRR1957208
SRP056969	Thyroid	SRR1957207
SRP056969	Thymus	SRR1957206
SRP056969	Stomach	SRR1957205
SRP056969	Small Intestine	SRR1957202
SRP056969	Spleen	SRR1957203
SRP056969	Skeletal Muscle	SRR1957201
SRP056969	Salivary Gland	SRR1957200
SRP056969	Prostate	SRR1957198
SRP056969	Placenta	SRR1957197
SRP056969	Lung	SRR1957195
SRP056969	Liver	SRR1957193
SRP056969	kidney	SRR1957192
SRP056969	Heart	SRR1957191
SRP056969	Liver, Fetal	SRR1957188
SRP056969	Brain, fetal	SRR1957186
SRP056969	Brain, whole	SRR1957183
ERP003613	salivary gland	ERR315325,ERR315382,ERR315420,ERR315418,ERR315459,ERR315449
ERP003613	lung	ERR315326,ERR315353,ERR315341,ERR315346,ERR315487,ERR315439,ERR315424,ERR315444
