chr11	-	    transcript_id       "STRG.13405.5   "  
	-	standard_name=p4|p3|p1@ARAP1
chr8	-	    transcript_id       "STRG.10396.2   "  
	-	standard_name=p2|p1|p3|p4@ST3GAL1
chr8	-	    transcript_id       "STRG.10396.8   "  
	-	standard_name=p2|p1|p3|p4@ST3GAL1
chr17	-	    transcript_id       "STRG.18163.3   "  
	-	standard_name=p1@GPS2
chr17	-	    transcript_id       "STRG.18163.2   "  
	-	standard_name=p1@GPS2
chr8	-	    transcript_id       "STRG.10513.2   "  
	-	standard_name=p1@C8orf82
chr1	+	    transcript_id       "STRG.682.6   "  
	+	standard_name=p1@DPH2
chr10	-	    transcript_id       "STRG.12266.6   "  
	-	standard_name=p6|p1|p2|p7|p3|p8@MYOF%3Bhg_110693.1
chr6	+	    transcript_id       "STRG.7657.4   "  
	+	standard_name=p3|p4|p1@PPT2
chr13	-	    transcript_id       "STRG.15218.28   "  
	-	standard_name=p3|p2@RBM26
chr13	-	    transcript_id       "STRG.15218.37   "  
	-	standard_name=p3|p2@RBM26
chr6	+	    transcript_id       "STRG.7804.1   "  
	+	standard_name=p6@KLC4
chr6	+	    transcript_id       "STRG.7804.2   "  
	+	standard_name=p6@KLC4
chr8	+	    transcript_id       "STRG.10376.4   "  
	+	standard_name=p26@MYC
chr8	+	    transcript_id       "STRG.10376.3   "  
	+	standard_name=p26@MYC
chr8	+	    transcript_id       "STRG.10376.5   "  
	+	standard_name=p26@MYC
chr8	+	    transcript_id       "STRG.10376.1   "  
	+	standard_name=p26@MYC
chr4	-	    transcript_id       "STRG.6083.2   "  
	-	standard_name=p1@CFAP97
chr17	-	    transcript_id       "STRG.18463.3   "  
	-	standard_name=hg_165130.1
chr1	+	    transcript_id       "STRG.1283.4   "  
	+	standard_name=p3|p2|p4@BOLA1
chr2	+	    transcript_id       "STRG.3340.4   "  
	+	standard_name=p1|p2@MARCH7
chr2	+	    transcript_id       "STRG.3340.3   "  
	+	standard_name=p1|p2@MARCH7
chr2	+	    transcript_id       "STRG.3340.1   "  
	+	standard_name=p1|p2@MARCH7
